model_a,model_b,wins_a,draws,wins_b,elo_diff,ci_low,ci_high
tiered_gen0,tiered_gen2,1,26,3,-23.2,-145.3,98.9
tiered_gen0,tiered_gen5,0,23,7,-82.6,-207.7,42.5
tiered_gen0,tiered_gen9,2,25,3,-11.6,-133.5,110.3
tiered_gen0,tiered_gen14,0,24,6,-70.4,-194.7,53.8
tiered_gen0,tiered_gen19,0,26,4,-46.6,-169.5,76.3
tiered_gen0,vanilla_gen0,5,24,1,46.6,-76.3,169.5
tiered_gen0,vanilla_gen1,6,21,3,34.9,-87.5,157.3
tiered_gen0,vanilla_gen2,1,25,4,-34.9,-157.3,87.5
tiered_gen0,vanilla_gen8,5,24,1,46.6,-76.3,169.5
tiered_gen2,tiered_gen5,2,26,2,-0.0,-121.8,121.8
tiered_gen2,tiered_gen9,0,27,3,-34.9,-157.3,87.5
tiered_gen2,tiered_gen14,0,26,4,-46.6,-169.5,76.3
tiered_gen2,tiered_gen19,1,26,3,-23.2,-145.3,98.9
tiered_gen2,vanilla_gen0,14,15,1,161.2,26.6,295.8
tiered_gen2,vanilla_gen1,11,17,2,107.5,-19.9,235.0
tiered_gen2,vanilla_gen2,6,22,2,46.6,-76.3,169.5
tiered_gen2,vanilla_gen8,7,21,2,58.5,-65.0,181.9
tiered_gen5,tiered_gen9,0,26,4,-46.6,-169.5,76.3
tiered_gen5,tiered_gen14,0,28,2,-23.2,-145.3,98.9
tiered_gen5,tiered_gen19,0,21,9,-107.5,-235.0,19.9
tiered_gen5,vanilla_gen0,17,13,0,223.3,76.7,369.8
tiered_gen5,vanilla_gen1,14,16,0,175.7,38.7,312.7
tiered_gen5,vanilla_gen2,10,20,0,120.4,-8.5,249.3
tiered_gen5,vanilla_gen8,14,15,1,161.2,26.6,295.8
tiered_gen9,tiered_gen14,0,29,1,-11.6,-133.5,110.3
tiered_gen9,tiered_gen19,0,27,3,-34.9,-157.3,87.5
tiered_gen9,vanilla_gen0,17,13,0,223.3,76.7,369.8
tiered_gen9,vanilla_gen1,17,11,2,190.8,51.1,330.6
tiered_gen9,vanilla_gen2,18,11,1,223.3,76.7,369.8
tiered_gen9,vanilla_gen8,18,11,1,223.3,76.7,369.8
tiered_gen14,tiered_gen19,0,25,5,-58.5,-181.9,65.0
tiered_gen14,vanilla_gen0,17,11,2,190.8,51.1,330.6
tiered_gen14,vanilla_gen1,13,17,0,161.2,26.6,295.8
tiered_gen14,vanilla_gen2,19,11,0,259.5,104.1,414.9
tiered_gen14,vanilla_gen8,14,16,0,175.7,38.7,312.7
tiered_gen19,vanilla_gen0,13,17,0,161.2,26.6,295.8
tiered_gen19,vanilla_gen1,15,13,2,161.2,26.6,295.8
tiered_gen19,vanilla_gen2,18,12,0,240.8,90.2,391.5
tiered_gen19,vanilla_gen8,13,16,1,147.2,14.8,279.6
vanilla_gen0,vanilla_gen1,7,12,11,-46.6,-169.5,76.3
vanilla_gen0,vanilla_gen2,9,10,11,-23.2,-145.3,98.9
vanilla_gen0,vanilla_gen8,5,11,14,-107.5,-235.0,19.9
vanilla_gen1,vanilla_gen2,2,20,8,-70.4,-194.7,53.8
vanilla_gen1,vanilla_gen8,4,16,10,-70.4,-194.7,53.8
vanilla_gen2,vanilla_gen8,4,17,9,-58.5,-181.9,65.0
tiered_gen0,vanilla_gen25,5,22,3,23.2,-98.9,145.3
tiered_gen0,vanilla_gen28,5,19,6,-11.6,-133.5,110.3
tiered_gen0,vanilla_gen33,8,16,6,23.2,-98.9,145.3
tiered_gen0,vanilla_gen40,4,25,1,34.9,-87.5,157.3
tiered_gen2,vanilla_gen25,11,19,0,133.6,3.1,264.2
tiered_gen2,vanilla_gen28,14,15,1,161.2,26.6,295.8
tiered_gen2,vanilla_gen33,15,12,3,147.2,14.8,279.6
tiered_gen2,vanilla_gen40,15,15,0,190.8,51.1,330.6
tiered_gen5,vanilla_gen25,15,14,1,175.7,38.7,312.7
tiered_gen5,vanilla_gen28,16,14,0,206.7,63.7,349.6
tiered_gen5,vanilla_gen33,15,13,2,161.2,26.6,295.8
tiered_gen5,vanilla_gen40,13,17,0,161.2,26.6,295.8
tiered_gen9,vanilla_gen25,19,10,1,240.8,90.2,391.5
tiered_gen9,vanilla_gen28,18,11,1,223.3,76.7,369.8
tiered_gen9,vanilla_gen33,18,9,3,190.8,51.1,330.6
tiered_gen9,vanilla_gen40,18,8,4,175.7,38.7,312.7
tiered_gen14,vanilla_gen25,16,14,0,206.7,63.7,349.6
tiered_gen14,vanilla_gen28,16,13,1,190.8,51.1,330.6
tiered_gen14,vanilla_gen33,20,9,1,259.5,104.1,414.9
tiered_gen14,vanilla_gen40,16,12,2,175.7,38.7,312.7
tiered_gen19,vanilla_gen25,16,14,0,206.7,63.7,349.6
tiered_gen19,vanilla_gen28,11,19,0,133.6,3.1,264.2
tiered_gen19,vanilla_gen33,13,16,1,147.2,14.8,279.6
tiered_gen19,vanilla_gen40,21,8,1,279.6,118.6,440.6
vanilla_gen0,vanilla_gen25,2,11,17,-190.8,-330.6,-51.1
vanilla_gen0,vanilla_gen28,3,7,20,-223.3,-369.8,-76.7
vanilla_gen0,vanilla_gen33,1,2,27,-458.5,-690.1,-226.8
vanilla_gen0,vanilla_gen40,2,3,25,-351.7,-536.5,-166.9
vanilla_gen1,vanilla_gen25,0,24,6,-70.4,-194.7,53.8
vanilla_gen1,vanilla_gen28,3,15,12,-107.5,-235.0,19.9
vanilla_gen1,vanilla_gen33,0,13,17,-223.3,-369.8,-76.7
vanilla_gen1,vanilla_gen40,2,11,17,-190.8,-330.6,-51.1
vanilla_gen2,vanilla_gen25,5,15,10,-58.5,-181.9,65.0
vanilla_gen2,vanilla_gen28,2,12,16,-175.7,-312.7,-38.7
vanilla_gen2,vanilla_gen33,2,9,19,-223.3,-369.8,-76.7
vanilla_gen2,vanilla_gen40,0,14,16,-206.7,-349.6,-63.7
vanilla_gen8,vanilla_gen25,1,19,10,-107.5,-235.0,19.9
vanilla_gen8,vanilla_gen28,2,17,11,-107.5,-235.0,19.9
vanilla_gen8,vanilla_gen33,1,13,16,-190.8,-330.6,-51.1
vanilla_gen8,vanilla_gen40,1,16,13,-147.2,-279.6,-14.8
vanilla_gen25,vanilla_gen28,3,18,9,-70.4,-194.7,53.8
vanilla_gen25,vanilla_gen33,1,11,18,-223.3,-369.8,-76.7
vanilla_gen25,vanilla_gen40,3,12,15,-147.2,-279.6,-14.8
vanilla_gen28,vanilla_gen33,6,8,16,-120.4,-249.3,8.5
vanilla_gen28,vanilla_gen40,4,9,17,-161.2,-295.8,-26.6
vanilla_gen33,vanilla_gen40,9,5,16,-82.6,-207.7,42.5

model,elo
tiered_gen19,1626.8
tiered_gen9,1622.9
tiered_gen14,1621.9
tiered_gen5,1592.3
tiered_gen2,1567.3
vanilla_gen33,1519.7
vanilla_gen40,1517.0
tiered_gen0,1494.9
vanilla_gen28,1465.5
vanilla_gen25,1431.2
vanilla_gen8,1419.2
vanilla_gen2,1396.7
vanilla_gen1,1389.0
vanilla_gen0,1335.6
